,title,userscore,release
976,The Gilded Age: Season 1,5.4,"January 24, 2022"
977,Muppets Now: Season 1,5.6,"July 31, 2020"
978,I Just Want My Pants Back: Season 1,6.1,"August 28, 2011"
979,Perry Mason (2020): Season 1,6.1,"June 21, 2020"
980,How to Get Away With Murder: Season 1,7.7,"September 25, 2014"
981,Philip K. Dick's Electric Dreams: Season 1,6.2,"September 17, 2017"
982,I Know This Much Is True: Season 1,7.0,"May 10, 2020"
983,American Auto: Season 1,tbd,"December 13, 2021"
984,The Kominsky Method: Season 1,7.6,"November 16, 2018"
985,Flight of the Conchords: Season 1,9.1,"June 17, 2007"
986,Bent (2012): Season 1,6.2,"March 21, 2012"
987,A Very Murray Christmas,5.1,"December 4, 2015"
988,Odd Mom Out: Season 1,5.5,"June 9, 2015"
989,Alpha House: Season 1,6.8,"April 19, 2013"
990,Euphoria: Season 1,6.8,"June 16, 2019"
991,The State Within: Season 1,7.9,"January 29, 2007"
992,Work of Art: The Next Great Artist: Season 1,8.2,"June 9, 2010"
993,The Young Pope: Season 1,7.4,"January 15, 2017"
994,The Spy: Season 1,6.3,"September 6, 2019"
995,Pan Am: Season 1,7.4,"September 25, 2011"
996,Rome: Season 2,8.9,"January 14, 2007"
997,Fosse/Verdon: Season 1,7.2,"April 9, 2019"
998,Murder in the First: Season 1,6.6,"June 9, 2014"
999,King of the Hill: Season 1,8.7,"January 12, 1997"
