title,release,metascore,userscore
155,Broadchurch: Season 2,"March 4, 2015",73,Broadchurch: Season 2
156,Nip/Tuck: Season 4,"September 5, 2006",74,Nip/Tuck: Season 4
157,The Big C: Season 4,"April 29, 2013",74,The Big C: Season 4
158,Breaking Bad: Season 1,"January 20, 2008",73,Breaking Bad: Season 1
159,Crashing: Season 1,"February 19, 2017",73,Crashing: Season 1
160,Westworld: Season 1,"October 2, 2016",74,Westworld: Season 1
161,Dare Me: Season 1,"December 29, 2019",73,Dare Me: Season 1
162,Bunheads: Season 1,"June 11, 2012",74,Bunheads: Season 1
163,True Blood: Season 2,"June 14, 2009",74,True Blood: Season 2
164,The Glee Project: Season 1,"June 12, 2011",73,The Glee Project: Season 1
165,A Suitable Boy,"December 7, 2020",73,A Suitable Boy
166,CSI: Season 9,"April 16, 2009",74,CSI: Season 9
167,Klondike (2014): Season 1,"January 20, 2014",74,Klondike (2014): Season 1
168,Wet Hot American Summer: First Day of Camp: Season 1,"July 31, 2015",74,Wet Hot American Summer: First Day of Camp: Season 1
169,Elf: Buddy's Musical Christmas,"December 16, 2014",74,Elf: Buddy's Musical Christmas
170,Arthur & George: Season 1,"September 6, 2015",73,Arthur & George: Season 1
171,Murder One: Season 2,"October 10, 1996",73,Murder One: Season 2
172,Shrill: Season 1,"March 15, 2019",74,Shrill: Season 1
173,Mosaic: Season 1,"January 22, 2018",73,Mosaic: Season 1
174,The Chi: Season 1,"January 7, 2018",73,The Chi: Season 1
175,Orphan Black: Season 1,"March 30, 2013",73,Orphan Black: Season 1
176,The North Water: Season 1,"July 15, 2021",74,The North Water: Season 1
177,Tiger King: Season 1,"March 20, 2020",74,Tiger King: Season 1
178,Dirty John: Season 2,"June 2, 2020",73,Dirty John: Season 2
179,The Bletchley Circle: Season 1,"September 6, 2012",73,The Bletchley Circle: Season 1
180,Invincible (2021): Season 1,"March 26, 2021",73,Invincible (2021): Season 1
181,Life On Mars: Season 1,"October 9, 2008",73,Life On Mars: Season 1
182,London Spy: Season 1,"January 21, 2016",73,London Spy: Season 1
183,Mozart in the Jungle: Season 1,"December 23, 2014",73,Mozart in the Jungle: Season 1
184,Jerry Seinfeld: 23 Hours to Kill,"May 5, 2020",74,Jerry Seinfeld: 23 Hours to Kill
185,Mythic Quest: Season 2,"May 7, 2021",73,Mythic Quest: Season 2
186,Farscape: Season 1,"March 18, 1999",74,Farscape: Season 1
187,Game of Thrones: Season 6,"April 24, 2016",73,Game of Thrones: Season 6
188,The Drowning: Season 1,"May 6, 2021",73,The Drowning: Season 1
189,Chuck: Season 1,"September 24, 2007",74,Chuck: Season 1
190,The Beat: Season 1,"March 28, 2000",73,The Beat: Season 1
191,Hotel Babylon: Season 1,"January 19, 2006",74,Hotel Babylon: Season 1
192,Battle Creek: Season 1,"March 1, 2015",73,Battle Creek: Season 1
193,Humans: Season 1,"June 28, 2015",73,Humans: Season 1
194,Torchwood (UK): Season 1,"October 22, 2006",73,Torchwood (UK): Season 1
195,Parade's End: Season 1,"August 24, 2012",73,Parade's End: Season 1
196,The Falcon and the Winter Soldier: Season 1,"March 19, 2021",74,The Falcon and the Winter Soldier: Season 1
197,The Fourth Estate: Season 1,"May 27, 2018",74,The Fourth Estate: Season 1
198,Thirteen: Season 1,"June 23, 2016",73,Thirteen: Season 1
199,Thorne: Season 1,"October 10, 2010",73,Thorne: Season 1
0,Poldark: Season 1,"June 21, 2015",72,Poldark: Season 1
