,title,release,metascore
1178,Big Love: Season 2,"June 11, 2007",71
1179,"Live in Front of a Studio Audience: Norman Lear's ""All in the Family"" and ""The Jeffersons""","May 22, 2019",71
1180,The End of the F***ing World: Season 2,"November 4, 2019",71
1181,The Paradise: Season 1,"September 25, 2012",71
1182,Sarah Cooper: Everything's Fine,"October 27, 2020",71
1183,Legit: Season 1,"January 17, 2013",71
1184,Ted Lasso: Season 1,"August 14, 2020",71
1185,Katy Keene: Season 1,"February 6, 2020",71
1186,The Adam Carolla Project: Season 8,"June 30, 2013",71
1187,Brooklyn Nine-Nine: Season 1,"September 17, 2013",70
1188,Huge: Season 1,"June 28, 2010",70
1189,Californication: Season 1,"August 13, 2007",70
1190,Living with Yourself: Season 1,"October 18, 2019",70
1191,Bridgerton: Season 2,"March 25, 2022",70
1192,The White Queen: Season 1,"June 16, 2013",70
1193,Torchwood (UK): Season 4,"July 8, 2011",70
1194,Catch-22 (2019): Season 1,"May 17, 2019",70
1195,Generation Cryo: Season 1,"November 25, 2013",70
1196,Marvel's Jessica Jones: Season 2,"March 8, 2018",70
1197,Entourage: Season 5,"September 7, 2008",70
1198,Hunted: Season 1,"October 4, 2012",70
1199,Tracey Ullman's State of the Union: Season 1,"March 30, 2008",70
1200,mixed-ish: Season 1,"September 24, 2019",70
1201,Penny Dreadful: Season 1,"May 11, 2014",70
1202,Bless the Harts: Season 1,"September 29, 2019",70
1203,Gangs of London: Season 1,"April 23, 2020",70
1204,Falling Skies: Season 1,"June 19, 2011",70
1205,Ashes to Ashes: Season 1,"March 7, 2009",70
1206,The X Factor: Season 1,"September 21, 2011",70
1207,The Boys Presents: Diabolical: Season 1,"March 4, 2022",70
1208,Outcast: Season 1,"June 3, 2016",70
1209,Mrs. Wilson,"March 31, 2019",70
1210,The L.A. Complex: Season 1,"January 10, 2012",70
1211,The Chronicle: Season 1,"July 14, 2001",70
1212,Das Boot (2019),"June 17, 2019",70
1213,Blue Bloods: Season 1,"September 24, 2010",70
1214,My Next Guest Needs No Introduction With David Letterman: Season 1,"January 12, 2018",70
1215,Red Oaks: Season 1,"October 9, 2015",70
1216,24: Live Another Day: Season 9,"May 5, 2014",70
1217,Cobra Kai: Season 4,"December 31, 2021",70
1218,Belgravia: Season 1,"April 12, 2020",70
1219,The Innocents (2018): Season 1,"August 24, 2018",70
1220,Saints & Strangers,"November 22, 2015",70
1221,Grantchester: Season 1,"October 6, 2014",70
1222,High School Confidential: Season 1,"March 10, 2008",70
1223,Addiction,"March 15, 2007",70
1224,It's Always Sunny in Philadelphia: Season 2,"June 29, 2006",70
1225,Doctor Who: Season 1,"March 26, 2005",70
1226,Project Runway: Season 1,"December 1, 2004",70
1227,In Treatment: Season 1,"January 28, 2008",70
1228,Scenes From A Marriage: Season 1,"September 12, 2021",70
1229,Succession: Season 1,"June 3, 2018",70
1230,Peacemaker: Season 1,"January 13, 2022",70
1231,Oz: Season 1,"July 12, 1997",70
1232,Life & Beth: Season 1,"March 18, 2022",70
1233,The X-Files: Season 1,"September 10, 1993",70
1234,The Path: Season 1,"March 30, 2016",70
1235,NewsRadio: Season 1,"March 21, 1995",70
1236,Dirty Sexy Money: Season 2,"October 1, 2008",70
1237,Vikings: Valhalla: Season 1,"February 25, 2022",70
1238,Future Man: Season 1,"November 14, 2017",70
1239,The Third Day: Season 1,"September 14, 2020",70
1240,Lodge 49: Season 1,"August 6, 2018",70
1241,Resident Alien: Season 1,"January 27, 2021",70
